KVcache prepared in 19.529070615768433 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.6651027202606201
[25]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9659345149993896
[25]: [Cumulative]: Semantic Similarity: 0.8537,	 cache time: 2.84268305851863e-07,	 generate time: 1.551640538068918
[26]: Semantic Similarity: 0.95109,	 cache time: 0.0,	 generate time: 1.5292377471923828
[26]: [Cumulative]: Semantic Similarity: 0.85731,	 cache time: 2.7373985007957176e-07,	 generate time: 1.5508108050734908
[27]: Semantic Similarity: 0.88844,	 cache time: 2.384185791015625e-07,	 generate time: 1.3444342613220215
[27]: [Cumulative]: Semantic Similarity: 0.85842,	 cache time: 2.724783761160714e-07,	 generate time: 1.5434402142252241
[28]: Semantic Similarity: 0.98297,	 cache time: 2.384185791015625e-07,	 generate time: 1.7200593948364258
[28]: [Cumulative]: Semantic Similarity: 0.86272,	 cache time: 2.7130390035695044e-07,	 generate time: 1.549530530798024
[29]: Semantic Similarity: 0.98694,	 cache time: 2.384185791015625e-07,	 generate time: 2.4678707122802734
[29]: [Cumulative]: Semantic Similarity: 0.86686,	 cache time: 2.702077229817708e-07,	 generate time: 1.5801418701807657
[30]: Semantic Similarity: 0.13284,	 cache time: 2.384185791015625e-07,	 generate time: 1.155407190322876
[30]: [Cumulative]: Semantic Similarity: 0.84318,	 cache time: 2.691822667275706e-07,	 generate time: 1.5664407514756726
[31]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.782390832901001
[31]: [Cumulative]: Semantic Similarity: 0.84808,	 cache time: 2.682209014892578e-07,	 generate time: 1.541939191520214
[32]: Semantic Similarity: 0.6036,	 cache time: 0.0,	 generate time: 1.1547298431396484
[32]: [Cumulative]: Semantic Similarity: 0.84067,	 cache time: 2.600929953835227e-07,	 generate time: 1.530205574902621
[33]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5908775329589844
[33]: [Cumulative]: Semantic Similarity: 0.84536,	 cache time: 2.5945551255170035e-07,	 generate time: 1.5025782795513378
[34]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5924127101898193
[34]: [Cumulative]: Semantic Similarity: 0.84978,	 cache time: 2.5885445731026784e-07,	 generate time: 1.4765735489981515
[35]: Semantic Similarity: 0.98134,	 cache time: 2.384185791015625e-07,	 generate time: 1.9050357341766357
[35]: [Cumulative]: Semantic Similarity: 0.85343,	 cache time: 2.582867940266927e-07,	 generate time: 1.4884752763642206
[36]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.7822644710540771
[36]: [Cumulative]: Semantic Similarity: 0.85739,	 cache time: 2.6419356062605574e-07,	 generate time: 1.4693884978423248
[37]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7810671329498291
[37]: [Cumulative]: Semantic Similarity: 0.86115,	 cache time: 2.635152716385691e-07,	 generate time: 1.4512747777135748
[38]: Semantic Similarity: 0.87932,	 cache time: 2.384185791015625e-07,	 generate time: 1.1582610607147217
[38]: [Cumulative]: Semantic Similarity: 0.86161,	 cache time: 2.628717667017228e-07,	 generate time: 1.443761605482835
[39]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9675695896148682
[39]: [Cumulative]: Semantic Similarity: 0.86507,	 cache time: 2.6226043701171877e-07,	 generate time: 1.4318568050861358
[40]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.156301498413086
[40]: [Cumulative]: Semantic Similarity: 0.86836,	 cache time: 2.6167892828220276e-07,	 generate time: 1.4251359439477689
[41]: Semantic Similarity: 0.62707,	 cache time: 7.152557373046875e-07,	 generate time: 4.347920894622803
[41]: [Cumulative]: Semantic Similarity: 0.86262,	 cache time: 2.724783761160714e-07,	 generate time: 1.4947260618209839
[42]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.1551148891448975
[42]: [Cumulative]: Semantic Similarity: 0.86581,	 cache time: 2.7168628781340844e-07,	 generate time: 1.4868281275727029
[43]: Semantic Similarity: 0.91878,	 cache time: 2.384185791015625e-07,	 generate time: 0.7808401584625244
[43]: [Cumulative]: Semantic Similarity: 0.86702,	 cache time: 2.7093020352450286e-07,	 generate time: 1.4707829464565625
[44]: Semantic Similarity: 0.64801,	 cache time: 2.384185791015625e-07,	 generate time: 2.8570797443389893
[44]: [Cumulative]: Semantic Similarity: 0.86215,	 cache time: 2.702077229817708e-07,	 generate time: 1.5015895419650607
[45]: Semantic Similarity: 0.55964,	 cache time: 2.384185791015625e-07,	 generate time: 1.344205617904663
[45]: [Cumulative]: Semantic Similarity: 0.85557,	 cache time: 2.695166546365489e-07,	 generate time: 1.498168152311574
[46]: Semantic Similarity: 0.97829,	 cache time: 2.384185791015625e-07,	 generate time: 1.1581497192382812
[46]: [Cumulative]: Semantic Similarity: 0.85818,	 cache time: 2.6885499345495345e-07,	 generate time: 1.4909337175653337
[47]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5952701568603516
[47]: [Cumulative]: Semantic Similarity: 0.86114,	 cache time: 2.682209014892578e-07,	 generate time: 1.4722740600506465
[48]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.1536321640014648
[48]: [Cumulative]: Semantic Similarity: 0.86397,	 cache time: 2.676126908282844e-07,	 generate time: 1.465771164212908
[49]: Semantic Similarity: 0.93364,	 cache time: 2.384185791015625e-07,	 generate time: 0.7844507694244385
[49]: [Cumulative]: Semantic Similarity: 0.86537,	 cache time: 2.6702880859375e-07,	 generate time: 1.4521447563171386
[50]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.341545820236206
[50]: [Cumulative]: Semantic Similarity: 0.86801,	 cache time: 2.617929496017157e-07,	 generate time: 1.4499761497273165
[51]: Semantic Similarity: 0.98555,	 cache time: 4.76837158203125e-07,	 generate time: 0.9683218002319336
[51]: [Cumulative]: Semantic Similarity: 0.87027,	 cache time: 2.659284151517428e-07,	 generate time: 1.4407135660831745
[52]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9664268493652344
[52]: [Cumulative]: Semantic Similarity: 0.87271,	 cache time: 2.65409361641362e-07,	 generate time: 1.4317647601073642
[53]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.1546485424041748
[53]: [Cumulative]: Semantic Similarity: 0.87507,	 cache time: 2.604943734628183e-07,	 generate time: 1.426632978298046
[54]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7821056842803955
[54]: [Cumulative]: Semantic Similarity: 0.87734,	 cache time: 2.600929953835227e-07,	 generate time: 1.4149143002249978
[55]: Semantic Similarity: 0.82277,	 cache time: 2.384185791015625e-07,	 generate time: 0.5919187068939209
[55]: [Cumulative]: Semantic Similarity: 0.87637,	 cache time: 2.5970595223563056e-07,	 generate time: 1.4002179503440857
[56]: Semantic Similarity: 0.87682,	 cache time: 2.384185791015625e-07,	 generate time: 0.7794897556304932
[56]: [Cumulative]: Semantic Similarity: 0.87638,	 cache time: 2.59332489549068e-07,	 generate time: 1.3893279820157771
[57]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.3432550430297852
[57]: [Cumulative]: Semantic Similarity: 0.87851,	 cache time: 2.5486123972925645e-07,	 generate time: 1.388533620998777
[58]: Semantic Similarity: 0.66284,	 cache time: 2.384185791015625e-07,	 generate time: 3.2189056873321533
[58]: [Cumulative]: Semantic Similarity: 0.87485,	 cache time: 2.545825505660752e-07,	 generate time: 1.4195568763603599
[59]: Semantic Similarity: 0.98357,	 cache time: 2.384185791015625e-07,	 generate time: 0.781897783279419
[59]: [Cumulative]: Semantic Similarity: 0.87666,	 cache time: 2.5431315104166666e-07,	 generate time: 1.4089292248090108
[60]: Semantic Similarity: 0.9693,	 cache time: 2.384185791015625e-07,	 generate time: 0.9668388366699219
[60]: [Cumulative]: Semantic Similarity: 0.87818,	 cache time: 2.540525842885502e-07,	 generate time: 1.4016818413968946
[61]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7801036834716797
[61]: [Cumulative]: Semantic Similarity: 0.88015,	 cache time: 2.538004229145665e-07,	 generate time: 1.3916563872368104
[62]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7834033966064453
[62]: [Cumulative]: Semantic Similarity: 0.88205,	 cache time: 2.5355626666356647e-07,	 generate time: 1.3820015778617254
[63]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.780123233795166
[63]: [Cumulative]: Semantic Similarity: 0.88389,	 cache time: 2.5331974029541016e-07,	 generate time: 1.3725972287356853
[64]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.966937780380249
[64]: [Cumulative]: Semantic Similarity: 0.88568,	 cache time: 2.5309049166165865e-07,	 generate time: 1.3663563141456017
[65]: Semantic Similarity: 0.90912,	 cache time: 0.0,	 generate time: 1.1536922454833984
[65]: [Cumulative]: Semantic Similarity: 0.88603,	 cache time: 2.492557872425426e-07,	 generate time: 1.3631341312870835
[66]: Semantic Similarity: 0.73925,	 cache time: 2.384185791015625e-07,	 generate time: 0.7818403244018555
[66]: [Cumulative]: Semantic Similarity: 0.88384,	 cache time: 2.490940378673041e-07,	 generate time: 1.3544581043186472
[67]: Semantic Similarity: 0.97734,	 cache time: 2.384185791015625e-07,	 generate time: 0.9675009250640869
[67]: [Cumulative]: Semantic Similarity: 0.88522,	 cache time: 2.4893704582663145e-07,	 generate time: 1.3487675575649036
[68]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5921211242675781
[68]: [Cumulative]: Semantic Similarity: 0.88688,	 cache time: 2.487846042798913e-07,	 generate time: 1.3378016672272612
[69]: Semantic Similarity: 0.91717,	 cache time: 2.384185791015625e-07,	 generate time: 0.9677708148956299
[69]: [Cumulative]: Semantic Similarity: 0.88731,	 cache time: 2.486365182059152e-07,	 generate time: 1.3325155121939523
[70]: Semantic Similarity: 0.64011,	 cache time: 2.384185791015625e-07,	 generate time: 6.784541130065918
[70]: [Cumulative]: Semantic Similarity: 0.88383,	 cache time: 2.484926035706426e-07,	 generate time: 1.4093046054034166
[71]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7809419631958008
[71]: [Cumulative]: Semantic Similarity: 0.88545,	 cache time: 2.483526865641276e-07,	 generate time: 1.4005773464838664
[72]: Semantic Similarity: 0.89788,	 cache time: 2.384185791015625e-07,	 generate time: 0.778850793838501
[72]: [Cumulative]: Semantic Similarity: 0.88562,	 cache time: 2.4821660290025684e-07,	 generate time: 1.392060544392834
[73]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9677622318267822
[73]: [Cumulative]: Semantic Similarity: 0.88716,	 cache time: 2.4808419717324747e-07,	 generate time: 1.3863267834122117
[74]: Semantic Similarity: 0.96551,	 cache time: 2.384185791015625e-07,	 generate time: 1.1563282012939453
[74]: [Cumulative]: Semantic Similarity: 0.88821,	 cache time: 2.47955322265625e-07,	 generate time: 1.3832601356506347
[75]: Semantic Similarity: 0.29925,	 cache time: 2.384185791015625e-07,	 generate time: 2.8429298400878906
[75]: [Cumulative]: Semantic Similarity: 0.88046,	 cache time: 2.4782983880293997e-07,	 generate time: 1.4024663159721775
[76]: Semantic Similarity: 0.98911,	 cache time: 2.384185791015625e-07,	 generate time: 1.7196035385131836
[76]: [Cumulative]: Semantic Similarity: 0.88187,	 cache time: 2.47707614650974e-07,	 generate time: 1.4065849811999829
[77]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9679920673370361
[77]: [Cumulative]: Semantic Similarity: 0.88338,	 cache time: 2.475885244516226e-07,	 generate time: 1.400961995124817
[78]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7797274589538574
[78]: [Cumulative]: Semantic Similarity: 0.88486,	 cache time: 2.474724491940269e-07,	 generate time: 1.3930982668188554
[79]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.40524864196777344
[79]: [Cumulative]: Semantic Similarity: 0.8863,	 cache time: 2.473592758178711e-07,	 generate time: 1.3807501465082168
[80]: Semantic Similarity: 1.0,	 cache time: 7.152557373046875e-07,	 generate time: 0.5927410125732422
[80]: [Cumulative]: Semantic Similarity: 0.8877,	 cache time: 2.531357753423997e-07,	 generate time: 1.3710216386818592
[81]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7816286087036133
[81]: [Cumulative]: Semantic Similarity: 0.88907,	 cache time: 2.5295629733946267e-07,	 generate time: 1.3638339188040756
[82]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5921850204467773
[82]: [Cumulative]: Semantic Similarity: 0.89041,	 cache time: 2.5278114410768074e-07,	 generate time: 1.354536944125072
[83]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.7158353328704834
[83]: [Cumulative]: Semantic Similarity: 0.89171,	 cache time: 2.526101611909412e-07,	 generate time: 1.3588381154196603
[84]: Semantic Similarity: 0.90459,	 cache time: 4.76837158203125e-07,	 generate time: 0.7789726257324219
[84]: [Cumulative]: Semantic Similarity: 0.89186,	 cache time: 2.552481258616728e-07,	 generate time: 1.3520161684821634
[85]: Semantic Similarity: 0.93791,	 cache time: 2.384185791015625e-07,	 generate time: 1.1553475856781006
[85]: [Cumulative]: Semantic Similarity: 0.8924,	 cache time: 2.5505243345748544e-07,	 generate time: 1.3497293244960695
[86]: Semantic Similarity: 0.58128,	 cache time: 2.384185791015625e-07,	 generate time: 0.5917956829071045
[86]: [Cumulative]: Semantic Similarity: 0.88882,	 cache time: 2.5486123972925645e-07,	 generate time: 1.3410174435582654
[87]: Semantic Similarity: 0.39006,	 cache time: 2.384185791015625e-07,	 generate time: 4.532292366027832
[87]: [Cumulative]: Semantic Similarity: 0.88316,	 cache time: 2.5467439131303266e-07,	 generate time: 1.3772819313136013
[88]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5916929244995117
[88]: [Cumulative]: Semantic Similarity: 0.88447,	 cache time: 2.544917417376229e-07,	 generate time: 1.3684550885404094
[89]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7814884185791016
[89]: [Cumulative]: Semantic Similarity: 0.88575,	 cache time: 2.5431315104166666e-07,	 generate time: 1.3619332366519503
[90]: Semantic Similarity: 0.99045,	 cache time: 2.384185791015625e-07,	 generate time: 1.3415424823760986
[90]: [Cumulative]: Semantic Similarity: 0.8869,	 cache time: 2.5413848541595123e-07,	 generate time: 1.3617091624291389
[91]: Semantic Similarity: 0.44556,	 cache time: 0.0,	 generate time: 1.542778491973877
[91]: [Cumulative]: Semantic Similarity: 0.88211,	 cache time: 2.513761105744735e-07,	 generate time: 1.3636773073154946
[92]: Semantic Similarity: 0.85739,	 cache time: 4.76837158203125e-07,	 generate time: 0.9669592380523682
[92]: [Cumulative]: Semantic Similarity: 0.88184,	 cache time: 2.538004229145665e-07,	 generate time: 1.3594115216244933
[93]: Semantic Similarity: 0.8674,	 cache time: 2.384185791015625e-07,	 generate time: 1.5317738056182861
[93]: [Cumulative]: Semantic Similarity: 0.88169,	 cache time: 2.53636786278258e-07,	 generate time: 1.3612451629435762
[94]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.779386043548584
[94]: [Cumulative]: Semantic Similarity: 0.88293,	 cache time: 2.5347659462376644e-07,	 generate time: 1.3551203301078394
[95]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7825181484222412
[95]: [Cumulative]: Semantic Similarity: 0.88415,	 cache time: 2.5331974029541016e-07,	 generate time: 1.3491557240486145
[96]: Semantic Similarity: 0.97601,	 cache time: 2.384185791015625e-07,	 generate time: 0.7935290336608887
[96]: [Cumulative]: Semantic Similarity: 0.8851,	 cache time: 2.531661200769169e-07,	 generate time: 1.3434276138384318
[97]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7964010238647461
[97]: [Cumulative]: Semantic Similarity: 0.88627,	 cache time: 2.530156349649235e-07,	 generate time: 1.3378457098591083
[98]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9709820747375488
[98]: [Cumulative]: Semantic Similarity: 0.88742,	 cache time: 2.5286818995620264e-07,	 generate time: 1.3341400165750523
[99]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5948331356048584
[99]: [Cumulative]: Semantic Similarity: 0.88855,	 cache time: 2.5272369384765626e-07,	 generate time: 1.3267469477653504

Result for ./results/squad-train/100/result_3.1-8B_k3_p100_q100_squad-train_bertscore_kvcache.txt
Prepare time: 19.529070615768433
Average Semantic Similarity: 0.8885451984405518
cache time: 2.5272369384765626e-07,	 generate time: 1.3267469477653504
