KVcache prepared in 32.56693243980408 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 0.0,	 generate time: 1.035994291305542
[23]: [Cumulative]: Semantic Similarity: 0.73675,	 cache time: 2.483526865641276e-07,	 generate time: 1.1244113047917683
[24]: Semantic Similarity: 0.96054,	 cache time: 0.0,	 generate time: 1.2469420433044434
[24]: [Cumulative]: Semantic Similarity: 0.74571,	 cache time: 2.384185791015625e-07,	 generate time: 1.1293125343322754
[25]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.769888162612915
[25]: [Cumulative]: Semantic Similarity: 0.75549,	 cache time: 2.384185791015625e-07,	 generate time: 1.115488520035377
[26]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.7767345905303955
[26]: [Cumulative]: Semantic Similarity: 0.76454,	 cache time: 2.472488968460648e-07,	 generate time: 1.102942078201859
[27]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 0.5233566761016846
[27]: [Cumulative]: Semantic Similarity: 0.77295,	 cache time: 2.384185791015625e-07,	 generate time: 1.0822425995554243
[28]: Semantic Similarity: 0.55982,	 cache time: 0.0,	 generate time: 0.7630796432495117
[28]: [Cumulative]: Semantic Similarity: 0.7656,	 cache time: 2.3019724878771553e-07,	 generate time: 1.0712369803724617
[29]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0061278343200684
[29]: [Cumulative]: Semantic Similarity: 0.77342,	 cache time: 2.3047129313151042e-07,	 generate time: 1.0690666755040488
[30]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0254416465759277
[30]: [Cumulative]: Semantic Similarity: 0.78072,	 cache time: 2.307276571950605e-07,	 generate time: 1.0676594165063673
[31]: Semantic Similarity: 0.7682,	 cache time: 2.384185791015625e-07,	 generate time: 1.9715244770050049
[31]: [Cumulative]: Semantic Similarity: 0.78033,	 cache time: 2.3096799850463867e-07,	 generate time: 1.0959051996469498

Result for ./results/hotpotqa-train/32/result_3.1-8B_k32_q32_hotpotqa-train_bertscore_kvcache.txt
Prepare time: 32.56693243980408
Average Semantic Similarity: 0.7803329932503402
cache time: 2.3096799850463867e-07,	 generate time: 1.0959051996469498
